@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data
7.12457640674e-218,1.0,5.21570378129e-151,1.0,1.0,1.0,1.0,7.90432620167e-52,1.0,0.999999988224,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,5.89909007438e-186,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,6.15442900232e-141,7.12457640674e-218,1.0,1.0,1.0,1.0,1.28736745467e-209,1.0,3.51678800967e-23,7.12457640674e-218,12
7.72772102449e-72,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,4.90475374788e-119,7.12457640674e-218,1.0,1.0,1.0,1.0,1.2098019044e-116,1.0,1.0,7.12457640674e-218,12
0.999999996734,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,16
7.12457640674e-218,1.0,1.0,1.0,1.0,2.79966377813e-25,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,16
7.12457640674e-218,1.0,4.5643896462e-54,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,2.08174972882e-158,1.0,7.12457640674e-218,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.26974555387e-150,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,6.64092225525e-202,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,9.29028252497e-215,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,0.999999999591,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,7.79620150626e-29,7.12457640674e-218,1.0,1.0,9.38161771541e-09,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,2.1217484175e-173,1.0,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,2.64491562353e-41,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,3.15245544167e-59,8.80675879822e-87,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,2.19793727788e-76,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,6.03951339944e-158,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,5.10780269235e-81,6.79771350456e-141,1.0,1.0,1.94067473998e-63,7.12457640674e-218,7.12457640674e-218,1.0,7.65063218731e-29,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,2.0967415741e-13,7.12457640674e-218,1.0,1.0,1.69578345898e-71,7.12457640674e-218,7.12457640674e-218,1.0,6.1913794129e-127,1.0,1.0,2.63002152245e-192,1.0,7.12457640674e-218,7.12457640674e-218,39
