@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.69021686588e-12,7.12457640674e-218,7.12457640674e-218,7
7.12457640674e-218,1.0,1.0,1.0,1.0,9.17739990709e-71,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.72822807896e-69,7.12457640674e-218,7.12457640674e-218,7
7.12457640674e-218,1.0,1.0,1.0,1.0,5.32175851016e-50,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.35344264805e-124,7.12457640674e-218,7.12457640674e-218,7
7.12457640674e-218,1.0,6.8724365818e-73,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.3506645417e-50,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7
7.12457640674e-218,1.0,0.999971593486,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.86894205651e-51,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,8
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,0.999997483958,1.0,1.0,1.0,0.169491662822,7.12457640674e-218,7.12457640674e-218,8
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,8
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.32719581215e-169,6.99858209427e-147,7.12457640674e-218,8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.03396977602e-123,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,9.11507165753e-41,7.12457640674e-218,1.0,1.0,1.0,1.0,5.40355927113e-132,1.0,1.0,7.12457640674e-218,12
3.70173993439e-89,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.20093320284e-87,1.0,1.0,7.12457640674e-218,12
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,3.95175394563e-32,1.0,1.0,2.99860713299e-103,1.0,7.12457640674e-218,7.12457640674e-218,16
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.38201204285e-91,1.0,7.12457640674e-218,7.12457640674e-218,16
3.973288011e-212,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.90896273732e-08,1.0,1.0,7.37364892937e-89,1.0,7.12457640674e-218,7.12457640674e-218,16
1.81428519037e-10,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,16
1.12407336401e-40,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,16
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,8.04973408614e-188,1.0,7.12457640674e-218,7.12457640674e-218,16
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,6.21231873124e-188,1.0,7.12457640674e-218,7.12457640674e-218,16
7.12457640674e-218,1.0,1.0,1.0,1.0,3.59972613908e-19,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,16
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,8.31341284242e-132,1.0,7.12457640674e-218,7.12457640674e-218,35
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.57355829571e-159,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,9.06220026964e-197,7.12457640674e-218,35
7.12457640674e-218,1.0,0.999999812022,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,2.8196777e-53,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,5.54539554743e-185,1.56342945188e-10,3.39263626779e-70,1.0,0.975249602506,7.12457640674e-218,7.12457640674e-218,1.0,0.999406828151,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.26040976808e-14,1.0,3.72535414951e-64,4.23301685557e-147,1.0,1.0,2.39802069931e-25,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,4.05122897959e-21,7.12457640674e-218,7.12457640674e-218,1.0,3.86482144287e-150,1.0,1.0,2.0423706088e-215,1.0,7.12457640674e-218,7.12457640674e-218,39
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,4.03808125709e-07,1.0,9.2988450749e-61,7.12457640674e-218,7.12457640674e-218,1.0,1.46334303787e-70,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,39
