@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data
1.0,3.32036463746e-39,5.87516827836e-129,1.0,8.03559597458e-115,1.0,1.82253348485e-112,1.0,3.6419136012e-46,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.29645992076e-57,1.0,7.12457640674e-218,6.11212767109e-143,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.64708003477e-198,7.12457640674e-218,8.85742455928e-52,4.91982908345e-75,1.49543160436e-137,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9528278998e-77,6.1559478595e-28,1.0,5.99259597186e-50,1.0,2.31192960889e-112,1.0,1.0,1.0,8.88761138948e-09,1.0,1.0,3.2393357241e-210,1.39260951731e-36,7.12457640674e-218,1.0,1.0,3.85580094075e-51,1.63557914028e-12,1.0,1.0,1.0,2
1.0,7.43026334462e-36,2.97615741283e-153,1.0,8.43942251045e-104,1.0,5.73133474966e-97,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.63567503265e-55,1.0,7.12457640674e-218,1.12903905921e-98,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,5.54992845832e-98,7.12457640674e-218,1.01059401328e-55,4.48256900681e-46,1.51742884067e-164,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1234561275e-41,2.77685917066e-53,6.29221602954e-08,3.37031578916e-47,4.18291382393e-50,1.76053796178e-104,1.0,1.0,1.0,3.06576414394e-38,3.5195241342e-15,1.0,2.69863146296e-139,8.28695674431e-51,7.12457640674e-218,1.0,1.0,6.93374628933e-14,1.0,1.0,1.0,1.0,2
1.0,1.38918176319e-29,7.53219710612e-156,1.0,1.36697188857e-114,1.0,7.85278233755e-94,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,4.93991426051e-51,1.0,7.12457640674e-218,1.30129084547e-100,7.12457640674e-218,1.0,0.999999999999,1.0,1.0,1.0,8.81047066196e-90,7.12457640674e-218,5.35033637568e-56,8.16516933919e-51,4.02370860868e-150,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.39349862521e-57,5.62081189056e-59,1.04115435967e-15,2.48052002897e-55,8.72457999106e-58,6.41001326614e-113,1.0,1.0,1.0,2.06232045198e-40,6.13286110619e-12,1.0,1.97087470916e-142,4.77138453266e-56,7.12457640674e-218,1.0,1.0,1.32386859492e-10,1.0,1.0,1.0,1.0,2
1.0,1.71939947771e-38,3.02080398741e-139,1.0,7.26570620707e-126,1.0,3.062525339e-98,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.05970552356e-48,1.0,7.12457640674e-218,2.18492685693e-108,7.12457640674e-218,1.0,0.999999993325,1.0,1.0,1.0,1.27140463125e-119,7.12457640674e-218,7.29082693057e-42,3.46556037159e-112,1.0707965361e-204,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.70207077026e-39,1.76293446432e-51,0.999999999999,3.70079113176e-50,2.11331762572e-45,3.52742096982e-85,1.0,1.0,1.0,2.80354353933e-38,4.53550031025e-32,1.0,4.09141875569e-138,5.1310542456e-43,7.12457640674e-218,1.0,1.0,4.15296240763e-24,1.0,1.0,1.0,1.0,39
1.0,3.52696974137e-47,4.09685902225e-137,1.0,1.30171539944e-130,1.0,2.70545289898e-103,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.19926790433e-43,1.0,7.12457640674e-218,5.04055368883e-105,7.12457640674e-218,1.0,0.999999999979,1.0,1.0,1.0,1.2854509181e-124,7.12457640674e-218,8.10590650911e-30,2.11705743988e-114,1.45266318565e-194,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61239312931e-30,2.55428309252e-55,1.0,1.38898665553e-44,1.67063892861e-48,8.61506352483e-85,1.0,1.0,1.0,9.31477875105e-25,2.44971480352e-44,1.0,2.09118236368e-139,3.93635489907e-43,7.12457640674e-218,1.0,1.0,6.31821230133e-13,1.0,1.0,1.0,1.0,39
1.0,5.47430755307e-29,2.88000082737e-131,1.0,2.03307257381e-127,1.0,2.58255826046e-62,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.34382660831e-43,1.0,7.12457640674e-218,1.94481735585e-67,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,2.47656121594e-119,7.12457640674e-218,9.77723308176e-60,1.13346712363e-43,9.79490239879e-185,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.94171993187e-62,2.69282290984e-44,2.66521480042e-43,4.83678445112e-73,2.32273268041e-43,1.17073957184e-102,1.0,1.0,1.0,1.65020222804e-45,1.0,1.0,3.51631880494e-158,7.09020773167e-48,7.12457640674e-218,1.0,1.0,0.995201362873,1.0,1.0,1.0,1.0,2
1.0,9.36599194135e-33,1.16566267173e-138,1.0,1.43761047499e-130,1.0,3.98328111077e-57,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.90926715257e-43,1.0,7.12457640674e-218,1.24434364865e-58,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,2.60943688387e-117,7.12457640674e-218,3.04250703265e-53,9.81274930344e-49,4.20592608336e-193,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35384946087e-55,2.40355222185e-44,9.70371673605e-43,2.91812647604e-80,1.12709828678e-43,8.45364057891e-96,1.0,1.0,1.0,4.30622276914e-49,1.0,1.0,1.89892120964e-146,1.68680572247e-71,7.12457640674e-218,1.0,1.0,0.999999998875,1.0,1.0,1.0,1.0,2
1.0,1.15196285494e-29,8.62647352481e-158,1.0,1.49709502769e-144,1.0,7.13511262412e-37,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,8.91043886051e-24,1.0,7.12457640674e-218,2.337795609e-72,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.33172503712e-135,7.12457640674e-218,2.97071554219e-61,1.56135554423e-41,2.37394498184e-200,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.40883029847e-58,6.16528107374e-53,6.03215543935e-19,1.77134714909e-69,3.88544811585e-52,2.30912127506e-81,1.0,1.0,1.0,1.97804625719e-30,1.0,1.0,1.3715493204e-157,1.40037200817e-67,7.12457640674e-218,1.0,1.0,1.04536408711e-06,1.0,1.0,1.0,1.0,2
1.0,4.99106194631e-45,6.5531771027e-144,1.0,2.82184702572e-150,1.0,6.11417775865e-36,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.11371440439e-20,1.0,7.12457640674e-218,1.23972749319e-85,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,4.11305301081e-140,7.12457640674e-218,3.08592368739e-44,5.00300919439e-41,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.65511284306e-56,1.22887476096e-66,1.03927985465e-10,1.12902714234e-85,8.8131817241e-55,2.40752924379e-90,1.0,1.0,1.0,1.80582335286e-18,1.0,1.0,3.92760515139e-157,3.64742386433e-62,7.12457640674e-218,1.0,1.0,2.34101285327e-30,1.0,1.0,1.0,1.0,2
1.0,1.90093017479e-66,2.83461261863e-145,1.0,6.8899218546e-155,1.0,5.73832707951e-46,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.80048868502e-14,1.0,7.12457640674e-218,1.90150756889e-111,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.92632011317e-152,7.12457640674e-218,2.94190787856e-36,1.3287755712e-65,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.68401502233e-27,4.55986724402e-73,7.55273236796e-05,8.62829447511e-68,5.41021631027e-61,2.19584585257e-84,1.0,1.0,1.0,1.7718996398e-43,1.0,1.0,1.41160107492e-178,3.36621870735e-72,7.12457640674e-218,1.0,1.0,3.78302720448e-55,1.0,1.0,1.0,1.0,39
1.0,1.49596252878e-68,6.05559091735e-141,1.0,8.13304304231e-168,1.0,2.07081011401e-40,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.01048273389e-18,1.0,7.12457640674e-218,4.73022899109e-117,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,2.86882600656e-159,7.12457640674e-218,3.57558615816e-27,3.06210383806e-58,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.39522802533e-40,1.68138165591e-64,9.89014089558e-10,7.52470389558e-75,6.77364949401e-57,1.71223873142e-85,1.0,1.0,1.0,6.93413578563e-50,1.0,1.0,1.35773722301e-187,2.96606065568e-77,7.12457640674e-218,1.0,1.0,4.72048176623e-49,1.0,1.0,1.0,1.0,2
1.0,1.38123267888e-26,6.15495016504e-139,1.0,3.41995229134e-135,1.0,1.66618444272e-148,6.11588927497e-13,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,3.14693075418e-150,7.12457640674e-218,1.0,5.44794359279e-09,1.0,1.0,1.0,4.55381765742e-109,7.12457640674e-218,2.14822122626e-16,1.98888285309e-104,2.73314661248e-152,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.49504001961e-20,3.13537101389e-66,1.0,5.71677207435e-47,6.60989274867e-39,6.0597636212e-52,1.0,0.999999999346,1.0,5.24419639734e-30,1.1525125346e-58,1.0,5.29943443917e-131,5.16451183502e-39,7.12457640674e-218,1.0,1.0,6.59349299372e-58,1.0,1.0,1.0,1.0,16
1.0,1.0,6.78065308913e-203,1.0,4.31557807452e-143,1.0,7.12457640674e-218,0.99999999986,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,8.02026290866e-103,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,4.55609046477e-74,4.90153217088e-57,1.0,1.0,4.18471276453e-137,1.0,1.0,1.72916565019e-75,1.0,1.0,1.0,1.0,7.12457640674e-218,7.29504408982e-34,7.12457640674e-218,1.0,1.0,2.27276485828e-54,1.0,2.91410559539e-29,1.0,1.0,35
1.0,4.04106712316e-37,4.25152808132e-75,1.0,4.03637502569e-189,1.0,2.24916723145e-95,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.999999999992,1.0,7.12457640674e-218,3.20938666184e-132,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,4.39870776392e-144,7.12457640674e-218,0.378446359968,0.999999991191,3.75117660728e-151,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.92366549777e-23,2.40016829422e-65,0.93046079661,8.02351273667e-69,6.62049280395e-10,5.85346704203e-51,1.0,1.0,1.0,1.54393882049e-34,1.0,1.0,1.78726160815e-215,2.21383323307e-56,7.12457640674e-218,1.0,1.0,3.60368885611e-75,1.0,1.0,1.0,1.0,16
1.0,3.69398056646e-47,1.33575080215e-87,1.0,4.07406673562e-190,1.0,2.29252876928e-90,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.999993027433,1.0,7.12457640674e-218,3.30182154833e-137,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,2.65257407524e-155,7.12457640674e-218,0.999915628232,1.0,1.15645913346e-166,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07719211477e-28,9.7186737297e-75,1.09791560512e-09,9.59535205347e-54,2.1877700957e-05,1.0333072048e-66,1.0,1.0,1.0,8.10451268071e-34,0.999985712168,1.0,3.41415458138e-216,1.4450994579e-57,7.12457640674e-218,1.0,1.0,6.01178811438e-76,1.0,1.0,1.0,1.0,16
1.0,5.52154531588e-23,5.9634640714e-118,1.0,1.41036693036e-166,1.0,1.09156763308e-80,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.47263388377e-23,1.0,7.12457640674e-218,3.19159805612e-81,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.95143563756e-113,7.12457640674e-218,8.48659179214e-28,0.999999997651,1.84344530451e-175,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36035754917e-53,1.02771225743e-83,9.59239551656e-17,1.55855450709e-69,2.32976083112e-53,1.26309155944e-59,1.0,1.0,1.0,1.8741342447e-49,1.0,1.0,2.95982879155e-178,4.21099645834e-63,7.12457640674e-218,1.0,1.0,5.76373273975e-70,1.0,1.0,1.0,1.0,35
1.0,2.53717843447e-20,1.82861638392e-125,1.0,1.09533349359e-161,1.0,1.20994831329e-64,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.14061694194e-06,1.0,7.12457640674e-218,3.04871057803e-77,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.75124799875e-111,7.12457640674e-218,5.68442693854e-16,0.998899068712,2.42852879055e-177,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.17197621155e-48,3.08855625681e-87,4.06668459815e-22,4.20371991891e-64,4.87089137298e-56,1.20547700743e-62,1.0,1.0,1.0,3.8260773225e-46,1.0,1.0,1.70938697087e-158,1.33060919836e-56,7.12457640674e-218,1.0,1.0,1.23184400223e-73,1.0,1.0,1.0,1.0,35
1.0,6.23248348473e-11,1.35005754532e-142,1.0,3.48682816189e-138,1.0,1.39613260828e-165,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.999999990631,1.0,7.12457640674e-218,1.36033226851e-162,7.12457640674e-218,1.0,1.54435138235e-17,1.0,1.0,1.0,3.13618531523e-103,7.12457640674e-218,3.0186444289e-23,5.21840955343e-100,3.42716319516e-162,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.99582514689e-38,1.87091801492e-65,1.0,2.6715909854e-34,2.17658433219e-36,1.88901563478e-70,1.0,1.0,1.0,6.44870503706e-46,2.83094264643e-73,1.0,5.48810079745e-133,1.53807415014e-31,7.12457640674e-218,1.0,1.0,1.56547253928e-35,1.0,3.34080228082e-09,1.0,1.0,35
1.0,1.29051006493e-21,4.01659987969e-152,1.0,2.5336277958e-128,1.0,9.29380562128e-154,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,2.01398191826e-158,7.12457640674e-218,1.0,8.16140218669e-22,1.0,1.0,1.0,1.81372820314e-98,7.12457640674e-218,1.87490087345e-08,6.01741485796e-103,9.34002095902e-170,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.43530601405e-44,3.28916504858e-64,1.0,1.7603838199e-46,1.9908062718e-35,7.43015327569e-66,1.0,1.0,1.0,3.61292185234e-32,9.60137510631e-63,1.0,1.0295166944e-128,2.22419011432e-25,7.12457640674e-218,1.0,1.0,4.13344791918e-56,1.0,0.999999999518,1.0,1.0,39
1.0,6.64292295674e-16,8.81432849544e-157,1.0,4.87495076371e-115,1.0,3.75552539588e-160,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.2904106813e-13,1.0,7.12457640674e-218,3.48644004497e-172,7.12457640674e-218,1.0,8.03937200686e-20,1.0,1.0,1.0,2.73430215419e-64,7.12457640674e-218,2.21952629402e-14,1.00503954639e-109,1.61120922023e-147,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.942008197e-97,9.04021352681e-80,0.999999963074,3.91525969704e-39,2.95833655424e-62,1.86242756393e-88,1.0,1.0,1.0,5.60245917602e-44,1.19876740496e-64,1.0,2.1891221063e-111,7.71666098144e-30,7.12457640674e-218,1.0,1.0,9.97058306205e-36,0.999999999986,1.0,1.0,1.0,16
1.0,7.26791334796e-18,1.50371907344e-153,1.0,4.41856742952e-121,1.0,1.39016042969e-159,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.00200356111275,1.0,7.12457640674e-218,9.96627720245e-168,7.12457640674e-218,1.0,2.38907442877e-12,1.0,1.0,1.0,8.09902514286e-70,7.12457640674e-218,1.41918361621e-29,2.26444736441e-87,1.0065311243e-139,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.93535206029e-79,8.92273601175e-65,1.0,7.3704692879e-49,3.37310098869e-49,4.73804243066e-88,1.0,1.0,1.0,4.45640482173e-40,1.36438726958e-62,1.0,2.42613256656e-119,1.22512495401e-41,7.12457640674e-218,1.0,1.0,3.48857375623e-23,1.0,1.0,1.0,1.0,35
1.0,6.11620093187e-28,5.69449914567e-92,1.0,4.38631131527e-90,1.0,6.78449409827e-75,1.0,2.09735552582e-33,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.00379768957652,1.0,7.12457640674e-218,1.6930122755e-109,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.06813332315e-157,7.12457640674e-218,1.22006992397e-19,1.83091068189e-100,2.27605683164e-159,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.69371078971e-52,3.05001490838e-20,4.01270735921e-18,4.31565251317e-33,1.0,1.18980052255e-74,1.0,1.0,1.0,2.03760023783e-33,0.287339313249,1.0,1.060768529e-168,1.1537581965e-06,7.12457640674e-218,1.0,1.0,3.62666833654e-60,1.58757114287e-23,1.0,1.0,1.0,12
